dauid,pop2016,emp2016,business2016,int3way,int4way,transit_n_per_hour,walk_edge_length,area,pop2016_d,emp2016_d,business2016_d,int3way_d,int4way_d,transit_n_per_hour_d,walk_edge_length_d
35430633,554.281620014358,113.223176536575,0.280481073742654,31.9969126429287,10.0780031324782,0,176515.701079607,30.2357795681514,18.3319771453224,3.74467528715011,0.00927646244775829,1.05824665677323,0.333313818145894,0,5837.97420145032
35202674,1321.17677540487,522.559912848129,216.03353776582,1.3318218568266,1.15414668470233,31.5092555544804,1549.30912368209,0.0586289166410947,22534.5589019261,8913.00646141995,3684.76086788879,22.7161259857408,19.6856218880454,537.435404910666,26425.6822817724
35211930,682.139270214019,36.8692445022643,35.585877053577,2.82265139031077,0.701647557384226,3.79154439838046,3893.28466015403,0.0972319760936039,7015.58579409445,379.188472594352,365.989445892974,29.0300732713016,7.2162223331629,38.9948302061699,40041.19649287
35203808,375.326999638694,86.7168590495817,52.901521356678,1.35519372940443,1.29034025843054,12.489674317718,984.709215818677,0.041430804624727,9059.12890271721,2093.05273781304,1276.86444508744,32.7098095651179,31.144465334869,301.458647275797,23767.561956327
35203977,1104.16557472539,116.959097262604,49.0895511612635,0.922353485761605,0.858012012816125,26.0917796045842,1392.73443795182,0.0569905002262872,19374.5548879406,2052.25602158614,861.363753017571,16.1843374264008,15.0553514955877,457.826822031458,24438.0104126444
35203788,1215.561030623,422.932972620687,157.914871175109,32.2058600143027,5.07245573099673,17.4240728788562,27195.6099104178,1.62972838989099,745.867248900482,259.511324245249,96.8964351082283,19.7614892236472,3.11245466573484,10.6913967915977,16687.20387956
35203174,526.870635799866,1358.02182615953,92.2924104927902,0,0,0,160.706754280586,3.29345174781342,159.975210248538,412.339979494505,28.0230036933333,0,0,0,48.7958429593762
35191049,1304.96951600127,157.578378497824,42.0402998426218,47.1304803275927,11.5886418502904,7.11916062431565,39501.6588007309,190.41315392584,6.85335802225884,0.827560361503151,0.220784641060014,0.24751693544212,0.0608605110065233,0.0373879665219364,207.452363380922
35201013,352.33991565814,50.9443076723368,37.0320264150278,2.57103392417047,0.746983872685304,1.43241094027287,1172.77033184934,0.0335822302436288,10491.8557553212,1517.00191746502,1102.72683339884,76.5593561094187,22.2434265760839,42.6538359686406,34922.3480198084
35201055,630.583132743292,178.089961331646,88.4952880261337,0.889668555502557,0.717183666392506,1.59117717413995,784.359954249245,0.041145018304387,15325.8683245271,4328.34808856211,2150.81416105964,21.6227526968362,17.430631846773,38.6724138112803,19063.3030819582
35200725,654.473048658856,43.3386356036892,55.9678600588776,5.02988862153776,1.47831152476145,3.86654465235798,2516.10796692762,0.0693018399225175,9443.80480216089,625.360533748364,807.595586516205,72.5794383981926,21.3314902809835,55.7928138225616,36306.5103284522
35201959,670.479288658527,264.747573762204,41.0391118847651,1.95124316166478,0.883847626365851,26.5147761856927,1954.02646475364,0.116334186638898,5763.39000623867,2275.75041706341,352.769147835717,16.7727408257167,7.59748833856829,227.919040410664,16796.6658916777
35190615,408.451225599484,22.9495899173576,22.3108881983265,0.887121219346993,0.660483625995182,0.908128377397735,2233.2081364646,0.0947602308918943,4310.36545347235,242.18588010343,235.445692653277,9.36174607213707,6.97005083017036,9.58343356543484,23566.9343082577
35204634,1073.71396655874,6477.87181819818,511.302325992115,60.2443550397311,21.1922043059271,160.741346177153,88053.7011999833,6.61974989896315,162.198569877528,978.567456032261,77.2389189616061,9.10069956708896,3.20136026728841,24.2820874852583,13301.6658550461
35200460,307.169165009432,16.281519636766,8.78704627729971,2.32961628940251,0.100794595119576,4.18057865195501,886.733378155105,0.0346803729606535,8857.14710617239,469.473602698509,253.372311977989,67.1739110777604,2.90638728810478,120.545954240402,25568.7382359222
35202391,561.841780406828,81.3711779237996,98.8164079934691,0.00171972631123948,3.41930433941149,0.00290203815021661,2945.41678130907,0.077285665650447,7269.67640995635,1052.86248412262,1278.58649028661,0.0222515559226412,44.2424130093743,0.0375495006194571,38110.7771605515
35201257,253.806258975109,16.5897133928848,13.2364271030764,2.70998857081698,0.131727088646266,11.9872512809877,1602.86442898632,0.0610052487121891,4160.4003644427,271.93911578251,216.971939013368,44.4222198585268,2.15927467598286,196.495408740012,26274.2052990936
35200863,343.741698031977,416.714625138903,89.188849251279,4.43842969445748,2.61805730152909,19.0814034758744,1660.56871393539,0.0332803421350848,10328.6708002199,12521.3443854471,2679.92585200181,133.364905818633,78.6667784514475,573.353585081038,49896.3834925478
35150316,656.089115450251,91.7178745039957,0.219634628556582,84.8702383745331,10.1370837896966,0,182134.728490577,224.410770418855,2.92360796331514,0.408705314512345,0.000978716966866792,0.37819146655094,0.045172002086959,0,811.613133142535
35150318,931.967769104993,349.307837776762,32.3995677520911,172.665543748395,11.9730805919203,0,408477.657385809,471.674599444188,1.97587016600683,0.740569532869439,0.0686905077998055,0.366069200995476,0.0253841962361959,0,866.01580383415
35150319,919.825649155186,130.40422742731,51.6502750711272,234.522206946266,11.4838018612211,0,509630.183350164,367.457023105623,2.50321967282358,0.354882936581746,0.140561403982965,0.638230302319881,0.0312520951815367,0,1386.91098905374
35200571,605.897916991889,51.9111352713911,43.8468262956231,2.37101104736695,2.52394275206219,0,1922.70643928227,0.0629782357316643,9620.75088247121,824.271030591781,696.221889772274,37.6481020756008,40.0764283524252,0,30529.6967586466
35200572,513.217971356494,34.6842389973813,30.8673321914245,3.46888089066527,1.23676818880307,5.42556833378332,1376.0754820971,0.056416215368598,9096.99397599361,614.792019825686,547.135818837747,61.4873023296791,21.9222112068771,96.1703704925103,24391.4887432
