gta06,pop2016,emp2016,business2016,int3way,int4way,transit_n_per_hour,walk_edge_length,area,pop2016_d,emp2016_d,business2016_d,int3way_d,int4way_d,transit_n_per_hour_d,walk_edge_length_d
7001,664.268980228199,483.753319550572,60.4928579489455,17.0728720453537,10.0056781238771,11.3261051407305,24646.7125760534,0.873252501416825,760.683741701791,553.967287543634,69.273042849345,19.5508996740959,11.4579438451572,12.9700231288823,28224.0389074922
7002,6184.64402907011,822.936357211741,325.19598716831,69.9970394029096,16.0661704679749,29.4095576169641,61810.2213455552,1.90517530938388,3246.23356108378,431.947838688857,170.690846961205,36.7404716291154,8.43290923876744,15.4366674143362,32443.3247906956
7003,75.1059830806633,1479.9439158265,136.336705783897,8.79198798045512,1.76912488962791,5.61211283249116,10485.6245262231,0.697137220835105,107.734863146015,2122.88753432741,195.566527950664,12.6115601314805,2.53769966192404,8.0502269349044,15040.9764574932
7004,1289.85243651483,965.658913916465,148.403059320562,24.2022232135433,4.62287774118619,13.5194873813995,17005.8208323355,0.570074507993152,2262.60325348617,1693.91702378677,260.322216201158,42.4544912536836,8.10925181948623,23.715298950996,29830.8740241719
7005,1130.72681107682,157.395988957612,178.529569350906,23.2035862352516,4.43122809421168,6.15900712012534,17009.0122285949,0.783394450189647,1443.36842162092,200.915374010511,227.892308029099,29.6192885073852,5.65644560430438,7.86194887981954,21711.9386338227
7006,3584.24139833558,460.438929277347,249.946001839853,45.0449080297256,14.7538982562541,23.2761639026647,35712.5909975615,1.25966515089771,2845.39220266691,365.524861070589,198.422574175151,35.7594301927176,11.7125557103328,18.4780565581868,28350.860522029
7007,4.21458426578866,1350.0912585723,116.925331914989,5.11389593062893,2.57266642496537,2.19522650177658,6824.78173700228,0.467720128880068,9.01091059707066,2886.53657435061,249.989950603497,10.9336665558395,5.50043982739312,4.69346167981467,14591.5929539827
7008,43.7753892645184,1338.23965984069,119.850569864092,10.6800890976132,3.55624273871069,17.7359575909073,8949.29122108575,0.429234375770585,101.984817003369,3117.73645211479,279.219411653434,24.8817189407063,8.28508371988225,41.319984120719,20849.4280194113
7009,34.2702445221498,1626.99179044637,73.5815166445574,5.93113147153586,3.94836843700954,15.9069698402093,7481.04311566225,0.544635713971467,62.9232414309598,2987.30279471097,135.102261487781,10.8900891355182,7.24955844011433,29.206622761141,13735.8658709887
7010,164.316159380451,516.458724044901,64.8475102800387,6.69786148268011,5.40780047224751,11.1588576414983,3989.95774402756,0.152806577661323,1075.32124529768,3379.81997862402,424.376432431891,43.8322851358213,35.3898409022238,73.0260294568638,26111.164879766
7011,1390.07672182427,606.356338181282,136.050652689535,26.6559974431398,10.0904416859929,10.5829206395621,16316.1155317204,0.538466630317155,2581.54664292849,1126.07969378556,252.663108593009,49.503527131179,18.7392144988627,19.653809621088,30301.0708799359
7012,347.184949806179,91.8305213890057,51.4099048428228,5.45280730286812,0.356855518759825,0.0477520035549136,3977.57622812872,0.191060743569076,1817.14434540897,480.635214087322,269.076231372648,28.5396528926243,1.86775949938041,0.249931004469526,20818.3855763687
7013,568.964735285234,943.630707702357,123.065060406029,13.7561618472953,7.42579461019002,31.3789568796853,9635.57810776152,0.315166758457784,1805.28155338897,2994.06800488686,390.476016595871,43.6472485696422,23.5614778872204,99.5630282623489,30572.9517761061
7014,1038.6752207382,105.749386281928,40.2314113043698,18.7009572627944,3.1238481297808,8.74552217670159,10414.7392929958,0.333593702668873,3113.593609317,317.000547180278,120.600032262311,56.0590835893478,9.36422991438046,26.2160889331369,31219.8318183887
7015,3.3227103836025,881.861947543649,37.6259918995,4.1290907778445,0.567499564085435,1.08900525952488,3860.03769942334,0.321326395080938,10.3406082863674,2744.44291238981,117.095864129128,12.8501450271598,1.7661156156888,3.3890936947479,12012.824836413
7016,1.02282663481248,709.025528624902,29.9461043606347,2.88722148234288,2.76639958041066,6.05268449011359,3836.47165354743,0.238584089204222,4.28706976321865,2971.80558431117,125.515932183565,12.1014837660507,11.5950715307034,25.3691874856443,16080.1655564865
7017,73.318522723828,1939.38562885629,81.0861339997411,10.8446435153412,2.78245389948304,5.72225119625479,8994.06821366301,0.724384309034828,101.214951524168,2677.28829112869,111.938004438253,14.9708426591827,3.84112944576394,7.89946872797278,12416.1554874742
7018,37.4661297464418,482.651228411252,20.7349613939265,1.60590799911846,0.529978197897677,3.69143187539053,3843.24861914737,0.17192770989381,217.917924746292,2807.29167339783,120.602789432449,9.34060018661526,3.08256416737601,21.4708372354318,22353.8638508075
7019,107.476207187467,1083.3342291855,47.3684258998104,1.59425773186081,3.70801183520206,13.2444118473455,5718.70523165502,0.382494022994817,280.987938964273,2832.29060863044,123.84095711857,4.1680592009732,9.69430007342181,34.6264544048181,14951.0969789259
7020,185.468694718636,1549.27048905475,71.4670660338535,9.17389026898248,2.70054740163474,6.71645735384396,7716.65070849951,0.571479227353565,324.541445850121,2710.98303297775,125.056279586586,16.0528849166844,4.72553904389591,11.752758512233,13502.9417328678
7021,572.616488753151,908.963088171573,55.121893808847,10.2865493507129,9.37976362643633,14.7143895390118,11491.7190987242,0.444192303279247,1289.11843930166,2046.32786624432,124.094662158506,23.1578739090537,21.1164478924787,33.1261695224859,25871.0450718903
7022,920.755832210746,585.402872430526,35.203953173341,15.9829554163271,0.603255541438057,2.11168016153603,9259.55124278729,0.310135360714889,2968.88374833597,1887.57215907635,113.511574727219,51.5354178881279,1.94513627871231,6.80889840058363,29856.4833801706
